,제목,작가,평점,내용,장르,이용연령가,연재요일
11,호랑신랑뎐,고추참치,9.98,산 속에 사는 금슬 좋은 부부! 그러나 이 부부에겐 어딘가 특별한 점이 있다. 그건 바로.. 신랑이 사람처럼 걸어다니고 말도 할 수 있는 호랑이라는데..? 무뚝뚝하지만 마음씨 착한 호랑이 신랑과 장난스럽고 수다스러운 인간 아내가 만나 벌어지는 좌충우돌 일상 이야기!,"스토리, 판타지",전체연령가,월
12,똑 닮은 딸,이담,9.98,"'우리 엄마가 살인마인 것 같다.' 성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다.그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오른다.자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸, 두 사람의 잔혹한 모녀 스릴러!2020 지상최대공모전 2기 우수상 수상작.","스토리, 스릴러",15세 이용가,월
13,강남의 기사,B급달궁 / 김재환,9.55,화려한 현대 도시 강남에 원인 모를 재난이 닥친다. 온갖 괴물들과 악마에게 영혼을 판 듯한 마법사들이 하늘과 땅 그리고 바다에서 동시에 나타난다. 현대의 무기나 과학으로 도저히 대적할 수 없는 차원이 다른 적에게 강남은 지옥으로 변모한다.,"스토리, 판타지",15세 이용가,월
14,잔불의 기사,환댕,9.96,"유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다.천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만,동생의 복수를 위해 '강함'을 연기하기로 결심했다.약해빠진 나는 복수에 성공할 수 있을까.","스토리, 판타지",15세 이용가,월
15,이별 후 사내 결혼,미믹 / 이달리,9.96,"대기업 K&C 공식 사내 커플인 다원과 태현, 결혼까지 탄탄대로일 것 같았지만 태현의 바람으로 헤어지고 그 상대가 태현과 같은 부서의 신입사원 유정이라는 것을 알고 충격에 빠진 다원그런 그녀를 오래전부터 바라보고 있었다는 남자가 나타났다! 근데 그 남자가 K&C 만인의 이상형, 제 팀장님이라고요?!","스토리, 로맨스",15세 이용가,월
16,리턴 투 플레이어,엄키 / 세혼 / 인덱스,9.92,"어느 날, 게임이 되어버린 세상.갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어  퀘스트를 달성해야 한다!인류의 종말에서 회귀한 2회차 플레이어, 김세한.그는 과연 세상을 이렇게 만든 '시스템'을 쳐부술 수 있을까!","스토리, 판타지",15세 이용가,월
17,히어로메이커,빤쓰,9.96,왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다~,"옴니버스, 판타지",전체연령가,월
18,루루라라 우리네 인생,현이씨,9.94,시간이 지나면 자연스레 성숙한 으른(?)이 되어 있을 줄 알았는데그저 술과 음란한 이야기를 좋아하는 알딸딸한 어른이 되어버렸다.  어느날 귀농을 결심한 부모님을 따라 어쩌다보니 시골과 도시를 오가게 된 현이씨의 인생 제 2막 시작!,"에피소드, 일상",전체연령가,월
19,"또다시, 계약 부부",제제 / 설우희,9.86,"서로에게 강한 이끌림을 느꼈던 건하와 서연, 하지만 전혀 다른 삶을 살아왔던 두 남녀는 짧은 결혼 생활을 마치고 결국 이혼을 선택한다. 5년 뒤, 건하는 서연에게 또 한 번 '계약 부부'를 제안한다.  ""나와 다시 부부가 되어줘야겠어. 이번엔 꽤 사이좋은 부부로 말이야.""","스토리, 로맨스",전체연령가,월
20,꼬리잡기,바쉬,9.94,"건물붕괴 사고로 매몰된 9명의 대학생.2주 뒤, 3명은 사망하고 1명은 의식불명인 상태로 발견된다.가까스로 구조된 생존자 5명은 그곳에서 있었던 일을 숨기려 하는데... 생존자인 척 숨어있던 살인자에 대한 정황이 드러나기 시작한다.수사팀은 이 밀실살인 사건의 처음과 끝을 파헤치게 된다.","스토리, 스릴러",15세 이용가,월
21,북부 공작님을 유혹하겠습니다,가천가 / 은하수 / 주시하,9.97,"“내 애인인 척 사교계에 들어가.”전 세계에서 주목하는 톱스타, 셀리나는촬영 중 갑작스러운 사고로 북부 공작의 땅에 차원 이동한다.마수에게서 목숨을 구해준 북부 공작, 칼시온은셀리나에게 자신의 애인인 척 사교계에 들어가정보를 입수하라는 계약을 제시하는데..","스토리, 로맨스",전체연령가,월
22,주작연애,우까,9.72,"""야야 저기 니 여친 지나간다ㅋㅋ""""뭐?죽을래?""공부말고는 잘하는 것 하나 없는 이세경. 같은 학교 아이들에게 늘 저런식으로 괴롭힘 당한다.그런 그녀가 학교만 나가면 인싸녀 그 자체?!학교와의 정반대의 모습에 모두가 알아보지 못하고 심지어 성인 남자들도 그녀가 고딩인줄 모르고 세경에게 만나달라고 애걸복걸하는데.사람들을 속이며 재미 좀 보려는데 뭐야, 저건?하필 걸려도 같은 반의 앙숙인, 하선우한테 정체를 들키는데?!어른도 아닌, 그렇다고 아이도 아닌 청소년들의 방황,사랑,청춘.달콤매콤 톡톡쏘는 사춘기 로맨스가 시작된다!","스토리, 로맨스",15세 이용가,월
23,물어보는 사이,성은,9.96,"뱀파이어에게 물리면 건강해진다?!​두통으로 의도치 않게 비호감 연예인이 된 이채이.우연히 톱스타인 서이준이 뱀파이어이고, 그에게 물리면 한동안 건강해진다는 걸 알게 된다.물어달라 부탁하는 채이에게 이준은 계약 연애를 제안하는데...​","스토리, 로맨스",15세 이용가,월
24,순정말고 순종,슈안,9.95,하루에 무려 쓰리잡. 스물 다섯 지언의 일과 끝에 남는 건 갑질에 시달린 스트레스와 돼지우리같은 집구석 뿐이다. 그러다 어느날 얻게 된 인형 한 개. 이것만 있으면 대한민국의 탑 배우 남도윤을 가정부로 부려먹을 수있다...?!2017 최강자전 대상 수상작 <늑대와 빨간모자> 슈안 작가의 차기작!,"스토리, 로맨스",12세 이용가,월
25,서브 남주가 파업하면 생기는 일,쓰레빠인간 / 해그늘 / ...,9.95,"평범한 한국인 ‘정예서’, 동생이 읽고 있던 대한민국을 휩쓴 초메가히트 로맨스 판타지 소설 ‘퇴사했더니 이계 공녀’에 서브남주로 빙의한다.이 서브남주, 훗날 전쟁에 나가 메인 남주 대신 죽을 운명이잖아? 여기서 죽을 수는 없어! 내 목표는 단 하나, 주인공들 근처엔 얼씬도 하지 말고, 건강하게 버티다가 집으로 돌아가기다.잠깐? 피하려던 메인 남주 세드리크와 메인 여주 크리스텔이 계속 다가온다?로맨스는 너희 둘이 하면 되잖아! 나는 판타지만 조금 빌려쓴다니까?","스토리, 판타지",전체연령가,월
26,결혼생활 그림일기,은꼼지,9.96,고르고 골라 결혼했더니 매일매일 우당탕탕?!결혼생활이란 무엇인가?조용할 날 없는 결혼생활을 날 것 그대로 그렸다.모자르고 부족했던 두 짐승이 만나 그려가는 결혼생활 그림일기!,"옴니버스, 일상",전체연령가,월
27,너를 돌려차는 방법,한성만,9.94,"관심 멈춰! 혼자가 제일 좋은 은신만렙 은솔.조용한 고등학교 생활을 꿈꿨는데... 인기짱 선배, 지수 때문에 다 망했다!엮였다 하면 파국인 환장듀오, 태권도부까지 함께하게 되다?!청춘 그잡채! 우당탕탕 첫사랑 로맨스♥︎","스토리, 로맨스",전체연령가,월
28,사이다걸,김드루 / 김그루,9.69,"어느새 세상은 고구마밭이 되었다.앞뒤 꽉꽉 막힌 사람, 대화가 통하지 않는 사람, 상식이 통하지 않는 사람이 넘쳐나는 세상…상처 주기 싫어 참고, 배려하는 사람이 오히려 바보 취급당하는, 무언가 단단히 잘못된 이 세상!착할 사람일수록 할 말은 하고 살 수 있는 세상을 위해, 청량감 넘치는 히어로 ‘사이다걸’이 신비한 사이다를 들고 찾아온다.","에피소드, 드라마",전체연령가,월
29,랭커,신건 / taibogi,9.78,"극비리로 진행되는 멤버쉽 온라인 게임 <랭커>.우연히 랭커에 뛰어든 격투기선수 강준서.어느 순간부터 상대가 괴물로 보였던 준서는 자신의 플레이어인 정준의 목소리를 통해서 안정을 되찾고,정준과 함께하면서 증세를 치료하고자 마음먹는다.하지만 랭커에는 목숨을 걸어야 하는 퀘스트뿐 아니라,캐릭터끼리 벌이는 배틀과 사냥의 위협까지 도사리고 있다.","스토리, 액션",15세 이용가,월
30,인섹터,마카빔,9.92,"어느 날 학교에서 담임교사가 <공벌레 인섹터 내라해치>가 되어 반 아이들을 무차별적으로 살해한 사건이 벌어진다. 그때 나타난 검은 개미, 그는 반 아이들을 구하게 되고 이 사건을 시작으로 언론과 SNS로 퍼져 인섹터의 존재는 더 이상 도시 괴담 수준의 이야기가 아니게 된다. 결국, 정부는 비밀리에 임무를 수행하던 인섹터 퇴치반 버그리퍼를 내세우고 생존자의 증언에 따라 검은 개미를 뒤쫓게 되는데,검은 개미의 정체는 몸속에 개미 집이 지어진 채 살아가는 평범한 학생 가미성. 그저 몸속 개미들에게 먹히지 않기 위해 인섹터의대항마로 변신하여 내키지 않는 싸움을 한다.","스토리, 판타지",15세 이용가,월
31,더블클릭,"김장훈,박수봉 / 박수봉",9.91,악명 높은 난이도를 가진 게임의 세계 랭킹 1위였던 지호.서비스 종료된 줄만 알았던 그 게임이 새롭게 돌아왔다!지호는 다시 한번 랭킹 1위를 꿈꾸며 게임 동아리에 입부한다.오랜만에 게임을 해도 살아있는 감각. 하지만 게임이 새롭게 변하면서 예상치 못한 약점이 생긴다.강한 상대를 마주할수록 열정이 끓어오르는 주인공의 프로게이머 도전기!,"스토리, 액션",전체연령가,월
32,영앤리치가 아니야!,최삡뺩,9.95,"<공대생 너무만화> 최삡뺩 작가의 개그로맨스 신작! 모든 게 완벽한 퍼렁식품 CEO의 아들 서민준.어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다.민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고?사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!","스토리, 개그",전체연령가,월
33,황제와의 하룻밤,예영 / INUS / 차승...,9.94,"술김에 하룻밤을 보낸 남자의 정체가... 무려 황제라고?겉은 아름다운 남작 영애, 속은 풍파에 쩌든 욕쟁이 할머니 '페넬로페'.""염병, 남자가 거기서 다 거기지.""그런 그녀에게 열렬히 구애하는 직진순정파 황제 '바트'!""나는 네가 필요해.""직진 황제와 독특한 영애의 본격 발랄 로맨스 판타지!","스토리, 로맨스",전체연령가,월
34,제왕: 빛과 그림자,"김남규 / 애풍,KONAM",9.9,"한국판 '삼합회' 대동그룹 회장 권수찬, 특수부 부장검사 유석호, 국회의원 김남훈이 세 사람은 어릴 적부터 늘 함께였던 죽마고우이다.어른이 되어서도 끈끈한 우정을 이어간 이 세 친구는 서로 밀어주고 당겨주며 함께 성장해 나간다. 하지만 수찬의 대동그룹이 대형 비리 사건에 연루되면서 세 사람의 긴밀한 커넥션은 위기에 처한다. 급기야 사건의 중심인 수찬은 검찰의 수사를 피하기 위해 중국으로 도피를 하고...한편 수찬과 오랜 원수 관계이자 라이벌 조직의 보스 오정만은 수찬을 위기에 처한 틈을 놓치지 않고 수찬을 제거하기 위해 은밀히 히트맨들을 고용해 중국에 보내는데...","스토리, 액션",전체연령가,월
35,수영만화일기,해오,9.9,"백수 겸 만화가지망생 해오, 저질체력에서 벗어나기 위해 수영에 도전!작심삼일이리라는 예상과는 다르게 어느새 수영에 익숙해진다.'이게 대체 어떻게 된 일이야? 나…… 수영을 사랑하게 된 걸까?'그렇게 수영을 익혀가면서 점차 몸도 마음도 성장해나가는데…….불확실한 미래를 안고 살아가지만, 해오는 오늘도 수영한다.","에피소드, 일상",전체연령가,월
36,오빠집이 비어서,이서희 / 태소영,9.88,"새엄마와 맞장 뜨고 집을 나온 재벌 3세 차은명.세상 딱 한 명인 친구 희영에게 신세를 질 수 없게 되자, 어쩔 수 없이 희영의 둘째 오빠가 잠시 비워둔 집에 머물게 된다.그렇게 한 달 뒤, 은명은 샤워를 하고 나오던 중 예고도 없이 집으로 돌아온 희영의 둘째 오빠를 대면하게 되고... 그런데 그 오빠의 정체가 바로바로 대한민국 탑 스타 영화배우 ‘제준영'이라고?!","스토리, 로맨스",전체연령가,월
37,파운더,임상윤 / 만두인,9.89,1970년대 각하에 대한 과잉 충성으로 비밀스런 공작대가 운영되었고 이는 정권이 바뀐 1980년대 대한민국 최초의 살인 청부 회사가 설립되는 토대가 된다.공작대의 에이스 공작원은 처절하게 살아남아 살인청부업 회사의 대표가 되어 회사를 이끌어가게 되는데...,"스토리, 액션",15세 이용가,월
38,흔들리는 세계로부터,양담,9.95,"""우리 한번 바꿔보지 않을래?""동경하던 ‘나’의 입에서 나온 달콤한 제안. 그리고 바뀐 세계에서 벌어지는 은새의 파란만장 로맨스(?)가 시작된다.","스토리, 판타지",전체연령가,월
39,헬크래프트,나락 / 영기,9.85,"세상에 배신당해 방구석으로 도망친 고등학생 염승기.새로운 지옥의 주인으로 지목된 대악마 바함무르크.바함무르크는 자신의 지옥 제작자로서 염승기를 선택하고,지옥 제작의 대가로 염승기에게 수감자를 고를 권리를 준다.복수를 위해 악마와 손을 잡은 염승기, 그렇게 윈윈의 관계로 끝날 줄 알았는데...갑자기 시작된 데스게임-살아남기 위해선 지옥에 보내라!","스토리, 판타지",15세 이용가,월
40,다시쓰는 연애사,최경민 / 영모,9.97,"대학 시절 구 여친 ‘한서리’와 함께 교통사고를 당한 ‘이제야’. 눈을 떠보니 10년 전 대학생 시절로 돌아와 버렸다. 그것도 서로의 몸이 뒤바뀐 채로.제야는 이곳에서 실패했던 서리와의 연애를 다시 써보고 싶다.""제야야. 날 다시 만나고 싶어? 그럼 날 다시 꼬셔봐.""과연 제야는 서리의 몸으로 서리를 꼬실 수 있을까?","스토리, 로맨스",15세 이용가,월
41,꿈의 기업,문지현,9.97,문명을 지배하는 거대기업과 거대기업을 움직이는 인공지능. 그 인공지능이 꿈을 꾸기 시작했다. 엄청난 경쟁률을 뚫고 대기업 드림코퍼레이션에 입사한 꿈사원들. 그들 앞에 의심스러운 일들이 펼쳐지는데..!,"스토리, 스릴러",12세 이용가,월
42,미니어처 생활백서,엘렌 심,9.97,모르는 할머니가 준 젤리빈을 먹고 작아져버렸다?!소꿉친구 방에 있는 인형의 집에서 지내게 된 18살 남고생의 눈물겨운 생활기!,"스토리, 드라마",12세 이용가,월
43,연애 연기대상,김충전 / 일공팔,9.86,"국내 최고의 예술대학에 다니는 감독 지망생 '지은'. 인지도가 없는 지은은 연기과 수석 '재하'를 캐스팅해 작품도 성공시키고 학교에서 이름도 날리고 싶다. 반면 재하는 지은을 이용해 싫어하는 선배를 치워버리고자 연애 연기를 제안한다. 연기 천재에게 속아가며 학교생활과 연애, 모두 완성하고자 하는 지은. 과연 두마리 토끼를 잡을 수 있을까?","스토리, 로맨스",15세 이용가,월
44,"아, 쫌 참으세요 영주님!",새우초밥 / daybook,9.97,"작고 가난한 영지 ‘화이트’의 영주, 로즈.영주민들과 오순도순 잘 먹고 잘살고 싶었는데, 갑자기 이종족 이주민이 늘고 자꾸 사건에 휘말린다?! 막강 능력 영주님 ‘로즈’와 그녀를 영지에 몰래몰래 숨겨 놓고 보호하고픈 스승, ‘대마법사 이그드라실’의 유쾌 발랄 로맨스 판타지!","스토리, 로맨스",12세 이용가,월
45,이제야 연애,딘돈 / 서혜은,9.96,"숨 막히게 가난한 삶을 살아온 자매, 주은과 혜진. 어머니의 죽음 후 둘 앞에 팔자에 없다 생각했던 ‘아버지’가 등장한다. 둘 중 하나가 대성그룹으로 들어온다면, 가난에 찌든 삶에서 구제해 주겠노라는 그의 제안에 언니 혜진이 나선다.그러나 대성그룹에 들어간 후, 3년만에 혜진은 허무하게 죽어버린다. 언니의 죽음을 막지 못한 무력감과 절망에 몸부림치던 주은.그녀에게 새로운 기회가 찾아온다. 3년 전으로 되돌아온 주은은 언니를 대신해 ‘대성그룹’의 딸이 되어 언니를 죽음으로 이끈 그 집으로 들어가는데….","스토리, 로맨스",12세 이용가,월
46,불청객,정로맨,7.04,"사랑스러운 부부 생활툰을 연재하는 인기 웹툰작가 은영,그녀의 결혼생활은 웹툰과는 달리 불행으로 가득 차 있다.그러던 어느 날, 술에 취해 눈 떠보니 남편이 시체가 되어 있었다.때마침 들이닥치는 불청객들, 그들로부터 남편의 시체를 숨겨야 한다!","스토리, 스릴러",15세 이용가,월
47,"집사, 주세요!",꾀돌이,9.86,"왕따인 내가 서열1위 존잘남을 내 집사로...?!학교에선 왕따, 집에선 재벌 아가씨인 '백마리'.학교에선 서열 1위, 집에선 마리의 집사인 '천하다'.천방지축 왕따 아가씨를 어떻게든 학교의 퀸으로 만들어야 한다!!정반대인 소년소녀의 서열반전 로맨스.<저세상 클라스!> 꾀돌이 작가의 신작","스토리, 로맨스",전체연령가,월
48,우산 없는 애,로밋,9.96,"화목한 가정에서 자란 여름은 밤마다 부부 싸움 소리가 들리는 윗집 남자애 수완을 종종 챙겨주었다.놀이공원에서 아르바이트를 하게 된 여름은 엄마와 놀이공원에 가보고 싶다는 수완의 말에 티켓을 선물한다.얼마 후, 놀이공원에 놀러 온 수완과 아줌마를 보며 흐뭇해하던 여름. 그러나 아줌마의 돌발행동에 당황하는데...","스토리, 드라마",15세 이용가,월
49,라서드,감람,9.96,"절대적 권능을 지닌 11인의 왕과, 왕을 수호하기 위한 기사단이 존재하는 세계.수습기사 힌타는 파트너 캐넛과 함께 정식 기사가 되기 위한 모험을 떠나는데...정식기사가 되기 위한 소년들의 고군분투 정통판타지액션!","스토리, 판타지",12세 이용가,월
50,하루의 하루,김이랑,9.96,"오하루는 다른 사람의 마음을 읽을 수 있는 초능력자다.얼마 전, 저주 받은 능력 때문에 첫사랑도 허무하게 깨져버리고건조한 일상을 보내고 있던 하루에게 최근 신경쓰이는 사람이 생겼다.​그 사람은 바로, 같은 과 동기인 도하루.그녀의 마음은 도무지 보이지 않는다. 이건 혹시.. 운명..?","스토리, 드라마",전체연령가,월
51,원작은 완결난 지 한참 됐습니다만,도래 / 원더드림,9.97,원작의 악녀 역할이었던 엘레나 테일러는 원작의 모든 관계를 때려치우고 연애상담소를 차린다.연애 상담소로 자리를 잡고 새 인생을 살아가던 엘레나에게 최고 난이도의 의뢰가 주어지는데..원작의 서브 남주였던 휴를 무사히 사교계에 데뷔시키고 혼처를 구하는 것!하지만 우락부락 운동에 진심이 된 휴는 연애에 전혀 관심이 없는 모태솔로였다.과연 엘레나는 무사히 의뢰를 마치고 행복하게 살 수 있을까?,"스토리, 로맨스",전체연령가,월
52,아슈타르테,SOON / 안다온,9.8,"무한한 영광을 가져다줄 피렌체 제국의 빛,아슈타르테. 하지만 음모로 인해 예언은 뒤틀리고...아슈타르테가 어둠으로 알려지게 되면서 모두가 그녀를 외면한다. 가족들의 사랑을 꿈꾸던 어린아이에서 점점 강인한 소녀로 자라는 '아슈타르테'의 성장기.","스토리, 로맨스",전체연령가,월
53,오늘의 비너스,엄세윤 / 도달,9.97,"“평범했던 내가... 오늘부터 세상에서 가장 아름답다고?그런데, 그 기준은 누가 정하는 거지?“뛰어난 연기력에도 평범한 외모 때문에 늘 오디션에서 탈락하던 배우 지망생 ‘강하나’.그러던 어느 날, ‘외모가 곧 능력’ 이라는 세계적인 뷰티기업 <에스그룹>에서 그녀에게 스카웃 제의가 온다.그리고 하나는 곧 엄청난 비밀을 알게 되는데...?2021 지상최대공모전 1기 우수상 수상작.","스토리, 로맨스",전체연령가,월
54,사랑의 헌옷수거함,고잉,9.96,"짝사랑은 이제 그만! 고잉고등학교에서 가장 핫한 소문, 헌옷수거함에 돈을 넣고 좋아하는 사람의 이름을 외치면 상대방의 마음을 알려준다는데..!연애 대신 성적과 돈에만 관심 있는 송아람은 그런 소문에 휘둘리지 않는다.그런 아람의 일상에 학교 인기남 정진우가 불쑥 들어온다. 어디로 튈지 모르는 이 자식을 어떻게 해야 좋을까?","스토리, 로맨스",전체연령가,월
55,메리의 불타는 행복회로,김지수,9.93,"음침한 여고생 유메리는 엄마의 절친이었던 천혜윤과 그의 아들 천사현과 함께 살고 있다.외모, 성적, 사교성, 모든 게 완벽한 그야말로 ‘엄마 친구 아들‘인 사현.사현과 결혼하여 진정한 가족이 되는 것을 꿈꾸는 메리는 과연 사현의 마음을 얻을 수 있을까?","스토리, 드라마",전체연령가,월
56,매지컬 급식:암살법사,웡웡이,9.92,"온갖 ‘빌런’들로 가득한 현대사회, 이 어지러운 세상에 정의를 실현하고자 신이 강림했다.그의 정의를 실현 할 용사는 바로… 마법소녀??어쨌든 빌런을 퇴치하고자 마법소녀가 나타났다! 성능 확실한 마법소녀의 빌런 퇴치기!","스토리, 판타지",전체연령가,월
57,퇴근 후에 만나요,박한나 / 햄친 / 로즈빈,9.91,"2억짜리 영혼결혼식,그 한 가운데에서 전남친을 마주쳤다?!빚을 갚기 위해 죽은 남자와 결혼하게 된 정채원은결혼까지 생각했던 전 남자친구 한성준의 회사에 취직한다.""잊지 마세요. 3년 동안은 절대 남자를 만나선 안 됩니다.""유부녀 코스프레를 들키지 않으려는 여자와,그 비밀을 밝혀내려는 남자.두 사람의 창과 방패의 대결이 시작된다!","스토리, 로맨스",12세 이용가,월
58,백호랑,박혬,9.95,모든 것이 완벽해 보이는 지룡은 비밀스런 동거 중!사촌동생이자 고양이이자 수호자인 소년은 바로 서쪽의 신수 백호였다!과거의 죄를 씻기 위해 인간계에서 하늘의 심부름을 수행인 백호랑과 그에게 엮인 지룡의 스펙타클한 일상,"스토리, 판타지",전체연령가,월
59,입술이 예쁜 남자,고도 / 플라비,9.94,10년 전 첫키스의 주인공이었던 동생친구가 완벽한 어른남자가 되어 나타났다.여전히 예쁜 입술로 예쁜 말만 골라 하며 작정한 듯 한비를 홀리기 시작하는데...이 아슬아슬한 줄타기는 누구의 승리로 끝나게 될까?,"스토리, 로맨스",전체연령가,월
60,굿바이 유교보이,아실,9.92,"실시간 연애 리얼리티쇼 '러브밤' ! 10일 촬영에 출연료 1억이라는 소리에 솔깃한 ‘이제’는오직 출연료와 자신의 스튜디오 홍보를 위해 프로그램에 참여한다. 한편 찐사랑을 꿈꾸는 유교보이 ‘헌도’는 ‘이제’에게 거부하기 힘든 달콤한 제안을 하고, 모종의 계약 관계로 엮인 둘은 물고 빨고 빼고 다 하는(?) 계약연애를 시작하는데… 과연 이들은 '러브밤'에서 살아남을 수 있을까?!!! 유교보이 ‘헌도’ X 진보걸 ‘이제’의 대국민 사기 애정행각이 펼쳐진다!","에피소드, 로맨스",15세 이용가,월
61,아마도,마파체,9.48,"""내가 하는 말 절대로 믿지마. 믿기지도 않겠지만..""해안가 시골 마을로 좌천된 강력계 형사 '무강'은 미스터리한 시체의 진실을 밝히기 위해 '아마도'로 향한다. 그 곳에서 마주하게 된 미지의 종교와 함께, 사건의 실마리는 점점 더 꼬여만 가는데...","스토리, 스릴러",15세 이용가,월
62,모스크바의 여명,이샨오 / 황장미,9.95,"21세의 피아니스트 이시윤.사고로 인해 피아노를 더 이상 칠 수 없게 된 삶을 비관하다 죽음을 택했지만,알아들을 수 없는 외국어로 얘기하는 갑부 집안에서소녀 '타티아나'로 눈을 뜬다.신이 주신 기회인 걸까? 아니면 저주인 걸까?성별이 바뀐 게 뭐 대수냐! 손만 멀쩡하다면 다시 피아노를 칠 수 있어!어차피 이렇게 된 거 '타티아나'로서 못다 한 꿈을 이뤄보자!","스토리, 드라마",전체연령가,월
63,최후의 금빛아이,알깨 / 새몽,9.94,"언니의 생일날, 이 세계를 지배하는 신에 의해 모든 것을 잃은 소녀 록시.자신이 신들의 먹이에 불과하다는 충격적인 진실을 알게 된다.록시는 심장만 있으면 언니를 되살릴 수 있다는 말을 믿고 험난한 여행을 떠난다.그러나 곧 그녀를 뒤쫓는 자들과 감당할 수 없는 적들이 나타나는데...록시는 앞을 막아서는 그들을 물리치고 과연 언니를 되살릴 수 있을까?","스토리, 판타지",12세 이용가,월
